     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     662   3.806300E+01   3.852000E+00
     663   3.374300E+01   3.865000E+00
     664   3.596700E+01   3.878000E+00
     665   3.747500E+01   3.891000E+00
     666   3.245900E+01   3.904000E+00
     667   3.774200E+01   3.916000E+00
     668   4.371000E+01   3.928000E+00
     669   3.387700E+01   3.940000E+00
     670   3.290100E+01   3.951000E+00
     671   4.115400E+01   3.962000E+00
     672   4.160200E+01   3.973000E+00
     673   3.011500E+01   3.984000E+00
     674   3.475400E+01   3.994000E+00
     675   3.468900E+01   4.004000E+00
     676   3.593800E+01   4.013000E+00
     677   4.351300E+01   4.022000E+00
     678   3.487800E+01   4.031000E+00
     679   3.865300E+01   4.040000E+00
     680   3.873600E+01   4.048000E+00
     681   3.078200E+01   4.056000E+00
     682   3.950100E+01   4.064000E+00
     683   3.243200E+01   4.071000E+00
     684   3.433800E+01   4.079000E+00
     685   3.982600E+01   4.085000E+00
     686   3.960000E+01   4.092000E+00
     687   3.833700E+01   4.098000E+00
     688   3.638100E+01   4.104000E+00
     689   4.011700E+01   4.109000E+00
     690   3.835500E+01   4.115000E+00
     691   3.299300E+01   4.120000E+00
     692   4.346800E+01   4.124000E+00
     693   4.117600E+01   4.129000E+00
     694   4.440500E+01   4.133000E+00
     695   4.223700E+01   4.137000E+00
     696   3.419500E+01   4.140000E+00
     697   4.376200E+01   4.143000E+00
     698   4.154400E+01   4.146000E+00
     699   3.987700E+01   4.149000E+00
     700   2.913000E+01   4.151000E+00
     701   3.415700E+01   4.153000E+00
     702   3.962600E+01   4.155000E+00
     703   3.504800E+01   4.157000E+00
     704   3.674400E+01   4.158000E+00
     705   3.272600E+01   4.159000E+00
     706   3.399400E+01   4.160000E+00
     707   3.565200E+01   4.161000E+00
     708   3.443400E+01   4.161000E+00
     709   3.537100E+01   4.161000E+00
     710   4.316000E+01   4.161000E+00
     711   3.894000E+01   4.160000E+00
     712   3.906100E+01   4.160000E+00
     713   3.421900E+01   4.159000E+00
     714   3.934300E+01   4.158000E+00
     715   3.328700E+01   4.156000E+00
     716   4.834000E+01   4.155000E+00
     717   3.377400E+01   4.153000E+00
     718   3.128700E+01   4.151000E+00
     719   3.915100E+01   4.149000E+00
     720   2.906300E+01   4.147000E+00
     721   3.459800E+01   4.144000E+00
     722   3.521600E+01   4.142000E+00
     723   3.214800E+01   4.139000E+00
     724   3.768300E+01   4.136000E+00
     725   3.706300E+01   4.132000E+00
     726   3.209900E+01   4.129000E+00
     727   3.368200E+01   4.126000E+00
     728   2.948900E+01   4.122000E+00
     729   3.380300E+01   4.118000E+00
     730   2.991100E+01   4.114000E+00
     731   3.208900E+01   4.110000E+00
     732   3.748100E+01   4.106000E+00
     733   3.547300E+01   4.102000E+00
     734   2.767200E+01   4.097000E+00
     735   2.855400E+01   4.093000E+00
     736   3.498000E+01   4.088000E+00
     737   3.466700E+01   4.084000E+00
     738   3.219900E+01   4.079000E+00
     739   3.081100E+01   4.074000E+00
     740   3.068300E+01   4.069000E+00
     741   1.943800E+01   4.064000E+00
     742   2.395000E+01   4.059000E+00
     743   2.505700E+01   4.054000E+00
     744   2.846900E+01   4.049000E+00
     745   3.195500E+01   4.044000E+00
     746   3.227100E+01   4.039000E+00
     747   2.931300E+01   4.034000E+00
     748   2.210000E+01   4.028000E+00
     749   2.474000E+01   4.023000E+00
     750   2.871500E+01   4.018000E+00
